input_text,generic_name,brand_name
اموكسيسيلين 500 ملغ,amoxicillin,Amoxicillin
اموكسيسيلين 250,amoxicillin,Amoxicillin
اموكسيسيلين كبسولات,amoxicillin,Amoxicillin
اموكسيسيلين شراب,amoxicillin,Amoxicillin
اموكسيسلين,amoxicillin,Amoxicillin
اموكسيل,amoxicillin,Amoxil
اوجمنتين,amoxicillin,Augmentin
أوجمنتين,amoxicillin,Augmentin
سيتريزين 10 ملغ,cetirizine,Cetirizine
سيتريزين 10 مجم,cetirizine,Cetirizine
سيتريزين اقراص,cetirizine,Cetirizine
سيتريزين حبوب,cetirizine,Cetirizine
سيتريزين شراب,cetirizine,Cetirizine
زيرتك,cetirizine,Zyrtec
زيرتيك,cetirizine,Zyrtec
سيتيريزين,cetirizine,Cetirizine
لوراتادين 10,loratadine,Loratadine
لوراتادين 10 ملغ,loratadine,Loratadine
لوراتادين اقراص,loratadine,Loratadine
لوراتادين حبوب,loratadine,Loratadine
كلاريتين 10,loratadine,Claritin
كلاريتين 10 ملغ,loratadine,Claritin
كلاريتين حبوب,loratadine,Claritin
كلارتين,loratadine,Claritin
اوميبرازول 20,omeprazole,Omeprazole
اوميبرازول 20 ملغ,omeprazole,Omeprazole
اوميبرازول كبسولات,omeprazole,Omeprazole
اوميبرازول حبوب,omeprazole,Omeprazole
اومبرازول,omeprazole,Omeprazole
اوميبرازول معده,omeprazole,Omeprazole
برايلوسك,omeprazole,Prilosec
لوسك,omeprazole,Losec
ميتفورمين 500,metformin,Metformin
ميتفورمين 500 ملغ,metformin,Metformin
ميتفورمين 850,metformin,Metformin
ميتفورمين 1000,metformin,Metformin
ميتفورمين اقراص,metformin,Metformin
ميتفورمين حبوب,metformin,Metformin
متفورمين,metformin,Metformin
جلوكوفاج,metformin,Glucophage
غلوكوفاج,metformin,Glucophage
سيرترالين 50,sertraline,Sertraline
سيرترالين 50 ملغ,sertraline,Sertraline
سيرترالين 100,sertraline,Sertraline
سيرترالين اقراص,sertraline,Sertraline
سيرترالين حبوب,sertraline,Sertraline
سترالين,sertraline,Sertraline
زولوفت 50,sertraline,Zoloft
زولوفت 100,sertraline,Zoloft
زولفت,sertraline,Zoloft
اتورفاستاتين 10,atorvastatin,Atorvastatin
اتورفاستاتين 20,atorvastatin,Atorvastatin
اتورفاستاتين 40,atorvastatin,Atorvastatin
اتورفاستاتين حبوب,atorvastatin,Atorvastatin
اتورفاستاتين اقراص,atorvastatin,Atorvastatin
ليبيتور,atorvastatin,Lipitor
ليبتور,atorvastatin,Lipitor
سيمفاستاتين 20,simvastatin,Simvastatin
سيمفاستاتين 40,simvastatin,Simvastatin
سيمفاستاتين حبوب,simvastatin,Simvastatin
سيمفاستاتين اقراص,simvastatin,Simvastatin
سيمفستاتين,simvastatin,Simvastatin
زوكور,simvastatin,Zocor
ديفينهيدرامين 25,diphenhydramine,Diphenhydramine
ديفينهيدرامين 25 ملغ,diphenhydramine,Diphenhydramine
ديفينهيدرامين كبسولات,diphenhydramine,Diphenhydramine
ديفينهيدرامين حبوب,diphenhydramine,Diphenhydramine
ديفين هيدرامين,diphenhydramine,Diphenhydramine
بنادريل,diphenhydramine,Benadryl
بينادريل,diphenhydramine,Benadryl
البوتيرول بخاخ,albuterol,Albuterol
البوتيرول محلول,albuterol,Albuterol
سالبيوتامول بخاخ,albuterol,Salbutamol
سالبوتامول,albuterol,Salbutamol
سالبوتامول بخاخ,albuterol,Salbutamol
فنتولين,albuterol,Ventolin
فينتولين,albuterol,Ventolin
بخاخ فينتولين,albuterol,Ventolin
نابروكسين 250,naproxen,Naproxen
نابروكسين 500,naproxen,Naproxen
نابروكسين اقراص,naproxen,Naproxen
نابروكسين حبوب,naproxen,Naproxen
نابروكسن,naproxen,Naproxen
نابروسين,naproxen,Naprosyn
اليف,naproxen,Aleve
ليسينوبريل 10,lisinopril,Lisinopril
ليسينوبريل 20,lisinopril,Lisinopril
ليسينوبريل اقراص,lisinopril,Lisinopril
ليسينوبريل حبوب,lisinopril,Lisinopril
ليزينوبريل,lisinopril,Lisinopril
زيستريل,lisinopril,Zestril
برينيفيل,lisinopril,Prinivil
